 frequency      v(vout_p)      v(vout_p)      frequency      v(vout_n)      v(vout_n)     
 2.9512092e+03  1.0405654e+04 -6.2109770e-02  2.9512092e+03 -1.0405654e+04  6.2109770e-02 
 3.0199517e+03  1.0405654e+04 -6.3556493e-02  3.0199517e+03 -1.0405654e+04  6.3556493e-02 
 3.0902954e+03  1.0405654e+04 -6.5036913e-02  3.0902954e+03 -1.0405654e+04  6.5036913e-02 
 3.1622777e+03  1.0405654e+04 -6.6551818e-02  3.1622777e+03 -1.0405654e+04  6.6551818e-02 
 3.2359366e+03  1.0405654e+04 -6.8102009e-02  3.2359366e+03 -1.0405654e+04  6.8102009e-02 
 3.3113112e+03  1.0405654e+04 -6.9688308e-02  3.3113112e+03 -1.0405654e+04  6.9688308e-02 
 3.3884416e+03  1.0405654e+04 -7.1311558e-02  3.3884416e+03 -1.0405654e+04  7.1311558e-02 
 3.4673685e+03  1.0405654e+04 -7.2972617e-02  3.4673685e+03 -1.0405654e+04  7.2972617e-02 
 3.5481339e+03  1.0405654e+04 -7.4672368e-02  3.5481339e+03 -1.0405654e+04  7.4672368e-02 
 3.6307805e+03  1.0405654e+04 -7.6411711e-02  3.6307805e+03 -1.0405654e+04  7.6411711e-02 
 3.7153523e+03  1.0405654e+04 -7.8191568e-02  3.7153523e+03 -1.0405654e+04  7.8191568e-02 
 3.8018940e+03  1.0405654e+04 -8.0012884e-02  3.8018940e+03 -1.0405654e+04  8.0012884e-02 
 3.8904514e+03  1.0405654e+04 -8.1876623e-02  3.8904514e+03 -1.0405654e+04  8.1876623e-02 
 3.9810717e+03  1.0405654e+04 -8.3783775e-02  3.9810717e+03 -1.0405654e+04  8.3783775e-02 
 4.0738028e+03  1.0405654e+04 -8.5735349e-02  4.0738028e+03 -1.0405654e+04  8.5735349e-02 
 4.1686938e+03  1.0405654e+04 -8.7732382e-02  4.1686938e+03 -1.0405654e+04  8.7732382e-02 
 4.2657952e+03  1.0405654e+04 -8.9775932e-02  4.2657952e+03 -1.0405654e+04  8.9775932e-02 
 4.3651583e+03  1.0405654e+04 -9.1867082e-02  4.3651583e+03 -1.0405654e+04  9.1867082e-02 
 4.4668359e+03  1.0405654e+04 -9.4006941e-02  4.4668359e+03 -1.0405654e+04  9.4006941e-02 
 4.5708819e+03  1.0405654e+04 -9.6196644e-02  4.5708819e+03 -1.0405654e+04  9.6196644e-02 
 4.6773514e+03  1.0405654e+04 -9.8437352e-02  4.6773514e+03 -1.0405654e+04  9.8437352e-02 
 4.7863009e+03  1.0405654e+04 -1.0073025e-01  4.7863009e+03 -1.0405654e+04  1.0073025e-01 
 4.8977882e+03  1.0405654e+04 -1.0307656e-01  4.8977882e+03 -1.0405654e+04  1.0307656e-01 
 5.0118723e+03  1.0405654e+04 -1.0547752e-01  5.0118723e+03 -1.0405654e+04  1.0547752e-01 
 5.1286138e+03  1.0405654e+04 -1.0793441e-01  5.1286138e+03 -1.0405654e+04  1.0793441e-01 
 5.2480746e+03  1.0405654e+04 -1.1044853e-01  5.2480746e+03 -1.0405654e+04  1.1044853e-01 
 5.3703180e+03  1.0405654e+04 -1.1302120e-01  5.3703180e+03 -1.0405654e+04  1.1302120e-01 
 5.4954087e+03  1.0405654e+04 -1.1565380e-01  5.4954087e+03 -1.0405654e+04  1.1565380e-01 
 5.6234133e+03  1.0405654e+04 -1.1834773e-01  5.6234133e+03 -1.0405654e+04  1.1834773e-01 
 5.7543994e+03  1.0405654e+04 -1.2110440e-01  5.7543994e+03 -1.0405654e+04  1.2110440e-01 
 5.8884366e+03  1.0405654e+04 -1.2392528e-01  5.8884366e+03 -1.0405654e+04  1.2392528e-01 
 6.0255959e+03  1.0405654e+04 -1.2681187e-01  6.0255959e+03 -1.0405654e+04  1.2681187e-01 
 6.1659500e+03  1.0405654e+04 -1.2976570e-01  6.1659500e+03 -1.0405654e+04  1.2976570e-01 
 6.3095734e+03  1.0405654e+04 -1.3278833e-01  6.3095734e+03 -1.0405654e+04  1.3278833e-01 
 6.4565423e+03  1.0405654e+04 -1.3588137e-01  6.4565423e+03 -1.0405654e+04  1.3588137e-01 
 6.6069345e+03  1.0405654e+04 -1.3904646e-01  6.6069345e+03 -1.0405654e+04  1.3904646e-01 
 6.7608298e+03  1.0405654e+04 -1.4228526e-01  6.7608298e+03 -1.0405654e+04  1.4228526e-01 
 6.9183097e+03  1.0405654e+04 -1.4559951e-01  6.9183097e+03 -1.0405654e+04  1.4559951e-01 
 7.0794578e+03  1.0405654e+04 -1.4899096e-01  7.0794578e+03 -1.0405654e+04  1.4899096e-01 
 7.2443596e+03  1.0405654e+04 -1.5246141e-01  7.2443596e+03 -1.0405654e+04  1.5246141e-01 
 7.4131024e+03  1.0405654e+04 -1.5601269e-01  7.4131024e+03 -1.0405654e+04  1.5601269e-01 
 7.5857758e+03  1.0405654e+04 -1.5964669e-01  7.5857758e+03 -1.0405654e+04  1.5964669e-01 
 7.7624712e+03  1.0405654e+04 -1.6336534e-01  7.7624712e+03 -1.0405654e+04  1.6336534e-01 
 7.9432823e+03  1.0405654e+04 -1.6717061e-01  7.9432823e+03 -1.0405654e+04  1.6717061e-01 
 8.1283052e+03  1.0405654e+04 -1.7106451e-01  8.1283052e+03 -1.0405654e+04  1.7106451e-01 
 8.3176377e+03  1.0405654e+04 -1.7504912e-01  8.3176377e+03 -1.0405654e+04  1.7504912e-01 
 8.5113804e+03  1.0405654e+04 -1.7912653e-01  8.5113804e+03 -1.0405654e+04  1.7912653e-01 
 8.7096359e+03  1.0405654e+04 -1.8329893e-01  8.7096359e+03 -1.0405654e+04  1.8329893e-01 
 8.9125094e+03  1.0405654e+04 -1.8756851e-01  8.9125094e+03 -1.0405654e+04  1.8756851e-01 
